Date,UVXY,SPY,VXXBEN,VIX,UX1,UX2,UX3,UX4,Day of week,Days to Roll,UVXY % Change,SPY % Change,VXXBEN % Change,VIX % Change,UX1 % Change,UX2 % Change,UX3 % Change,UX4 % Change
2014-04-11,167500.0,181.51,-0.37,17.03,16.85,16.65,16.85,17.2,5,4,0.0626486915146709,-0.00898146378750242,-3.642857142857143,0.07174323473882938,0.06309148264984232,0.024615384615384484,0.021212121212121238,0.0117647058823529
2014-04-14,164975.0,182.9401,0.36,16.11,16.2,16.65,16.85,17.25,1,3,-0.015074626865671625,0.00787890474354036,-1.9729729729729728,-0.05402231356429843,-0.03857566765578646,0.0,0.0,0.0029069767441860517
2014-04-15,161175.0,184.2,0.41,15.61,15.6,16.45,16.65,17.15,2,2,-0.023033792998939262,0.006886953707798238,0.13888888888888884,-0.031036623215394132,-0.03703703703703698,-0.012012012012011963,-0.011869436201780603,-0.005797101449275477
2014-04-16,149625.0,186.125,2.805,14.18,15.9,16.35,16.8,17.1,3,1,-0.07166123778501632,0.010450597176981713,5.8414634146341475,-0.09160794362588087,0.019230769230769384,-0.006079027355622935,0.009009009009009139,-0.002915451895043608
2014-04-17,145400.0,186.39,3.61,13.36,15.6,16.1,16.7,17.05,4,23,-0.028237259816207172,0.0014237743451981366,0.2869875222816398,-0.05782792665726377,-0.018867924528301883,-0.015290519877675823,-0.005952380952381042,-0.0029239766081872176
2014-04-21,139775.0,187.04,3.55,13.25,15.4,16.05,16.65,17.05,1,22,-0.0386863823933975,0.003487311551048977,-0.016620498614958512,-0.008233532934131649,-0.012820512820512775,-0.0031055900621118626,-0.0029940119760479833,0.0
2014-04-22,139000.0,187.89,3.39,13.19,15.25,15.85,16.5,17.0,2,21,-0.005544625290645699,0.004544482463644028,-0.04507042253521121,-0.004528301886792541,-0.009740259740259716,-0.012461059190031265,-0.009009009009008917,-0.0029325513196480912
2014-04-23,140350.0,187.45,3.395,13.27,15.4,15.8,16.45,17.0,3,20,0.009712230215827233,-0.0023417957315450266,0.001474926253687281,0.006065200909780133,0.009836065573770592,-0.003154574132492094,-0.00303030303030305,0.0
2014-04-24,143525.0,187.83,3.545,13.32,15.5,16.05,16.55,17.0,4,19,0.022622016387602528,0.002027207255268282,0.044182621502209196,0.0037678975131876236,0.006493506493506551,0.015822784810126667,0.006079027355623268,0.0
2014-04-25,145903.0,186.29,2.61,14.06,15.6,16.2,16.65,17.1,5,18,0.01656854206584213,-0.008198903263589519,-0.26375176304654446,0.05555555555555558,0.006451612903225712,0.009345794392523255,0.0060422960725075026,0.00588235294117645
2014-04-28,139400.0,186.875,2.195,13.97,15.2,15.9,16.4,16.8,1,17,-0.04457070793609452,0.003140265177948409,-0.15900383141762453,-0.006401137980085347,-0.02564102564102566,-0.01851851851851849,-0.01501501501501501,-0.01754385964912286
2014-04-29,134600.0,187.75,2.285,13.71,15.0,15.7,16.2,16.7,2,16,-0.03443328550932567,0.00468227424749168,0.0410022779043282,-0.018611309949892574,-0.013157894736842035,-0.012578616352201366,-0.012195121951219523,-0.005952380952381042
